S.No,User_Text,Summary,Keywords,Relevance-0/1
1," The Himalayas, often referred to as the ""abode of snow,"" stand majestically as the world's highest and most iconic mountain range. Spanning across five countries — India, Nepal, Bhutan, China, and Pakistan — this awe-inspiring natural wonder stretches over 1,500 miles and hosts some of the planet's loftiest peaks, including the towering Mount Everest. The Himalayas play a vital role in shaping the region's climate and culture, serving as a source for major rivers like the Ganges and the Indus, which sustain millions of people in the Indian subcontinent. Beyond their geographical significance, the Himalayas hold immense spiritual importance, with numerous sacred sites and ancient monasteries nestled in their serene valleys. The breathtaking landscapes, diverse ecosystems, and cultural richness make the Himalayas not just a physical barrier but a symbol of endurance, spirituality, and natural beauty.","The Himalayas, often referred to as the ""abode of snow,"" stand majestically as the world's highest and most iconic mountain range. Spanning across five countries — India, Nepal, Bhutan, China, and Pakistan — this awe-inspiring natural wonder stretches over 1,500 miles and hosts some of the planet's loftiest peaks, including the towering Mount Everest. Beyond their geographical significance, the Himalayas hold immense spiritual importance, with numerous sacred sites and ancient monasteries nestled in their serene valleys.","0.0015352102055244668 (Score: iconic mountain range)
0.00954753636087636 (Score: abode of snow)
0.011135749703561088 (Score: towering Mount Everest)
0.012140852999703718 (Score: stand majestically)
0.012140852999703718 (Score: mountain range)
0.015449349941343995 (Score: world highest)
0.015449349941343995 (Score: iconic mountain)
0.030635365789384778 (Score: Mount Everest)
0.034523023861424924 (Score: Himalayas hold immense)
0.037993605558736085 (Score: planet loftiest peaks)",0
2,"Coffee, a globally cherished beverage, has become an integral part of diverse cultures worldwide. Derived from the beans of the Coffea plant, it offers a rich tapestry of flavors, ranging from the bold intensity of espresso to the subtle notes of a well-brewed pour-over. Beyond its stimulating caffeine content, coffee serves as a catalyst for social interactions, creating a universal language in cafes and gatherings.

The journey of coffee spans centuries, originating in ancient Ethiopia and spreading to every corner of the globe. Its cultivation and preparation methods have evolved, giving rise to a myriad of brewing techniques, each contributing to the unique coffee experience. Coffee's significance extends beyond its sensory pleasures; it plays a pivotal role in daily routines, providing a moment of respite or a kickstart to the day.

The aroma of freshly brewed coffee is iconic, symbolizing comfort and familiarity. Coffee plantations, nestled in tropical regions, contribute to the livelihoods of many and shape landscapes with their verdant beauty. As research suggests potential health benefits, coffee continues to captivate not just as a beverage but as a cultural phenomenon, weaving its essence into the fabric of our lives.","Coffee, a globally cherished beverage, has become an integral part of diverse cultures worldwide. Derived from the beans of the Coffea plant, it offers a rich tapestry of flavors, ranging from the bold intensity of espresso to the subtle notes of a well-brewed pour-over. Beyond its stimulating caffeine content, coffee serves as a catalyst for social interactions, creating a universal language in cafes and gatherings",0.0019885008287174486 (Score: globally cherished beverage) 0.0019885008287174486 (Score: diverse cultures worldwide) 0.01423004492520455 (Score: cherished beverage) 0.01423004492520455 (Score: cultures worldwide) 0.018754752807054517 (Score: globally cherished) 0.018754752807054517 (Score: integral part) 0.018754752807054517 (Score: part of diverse) 0.018754752807054517 (Score: diverse cultures) 0.06040141155132937 (Score: Coffea plant) 0.10340676487343882 (Score: beverage),1
3,"Junk food, characterized by its high levels of processed ingredients, sugars, and unhealthy fats, is a prevalent aspect of modern diets. These foods, often lacking essential nutrients, contribute to health concerns such as obesity and other lifestyle-related diseases. Fast food chains and convenience stores offer a wide array of easily accessible and affordable junk food options, making them a convenient but potentially harmful choice. The addictive nature of some junk foods, driven by salt, sugar, and fat content, poses challenges for those aiming for healthier eating habits. Regular consumption of junk food can lead to energy imbalances, affecting overall well-being and contributing to a sedentary lifestyle. Despite its negative health implications, the appeal of junk food lies in its often indulgent taste and convenience, making moderation crucial for a balanced diet. Public health campaigns emphasize the importance of limiting junk food intake and promoting awareness of its impact on long-term health. Educational initiatives aim to empower individuals to make informed choices for a healthier lifestyle, encouraging a shift towards more nutritious food options.","Junk food, characterized by its high levels of processed ingredients, sugars, and unhealthy fats, is a prevalent aspect of modern diets. Fast food chains and convenience stores offer a wide array of easily accessible and affordable junk food options, making them a convenient but potentially harmful choice. The addictive nature of some junk foods, driven by salt, sugar, and fat content, poses challenges for those aiming for healthier eating habits","0.027221993855267405 (Score: processed ingredients)
0.027221993855267405 (Score: modern diets)
0.03729061193797446 (Score: high levels)
0.03729061193797446 (Score: levels of processed)
0.03729061193797446 (Score: prevalent aspect)
0.03729061193797446 (Score: aspect of modern)
0.0633174893647307 (Score: junk food options)
0.07115701953444857 (Score: Junk food)
0.08341285534860243 (Score: affordable junk food)
0.08638525564256562 (Score: unhealthy fats)",1
4,"Cyber attacks represent a persistent and evolving threat in our interconnected digital world. These malicious activities encompass a range of tactics, including malware, phishing, and ransomware, aimed at exploiting vulnerabilities in computer systems and networks. Hackers, driven by various motives such as financial gain, political agendas, or simply disruption, continuously adapt their techniques to stay ahead of cybersecurity measures. The consequences of successful cyber attacks can be severe, ranging from compromised personal data to widespread disruption of critical infrastructure. Governments, organizations, and individuals invest heavily in cybersecurity measures to protect against these threats, employing firewalls, encryption, and regular system updates.

The increasing interconnectedness of devices through the Internet of Things (IoT) has expanded the attack surface, posing additional challenges. Cybersecurity professionals play a crucial role in developing and implementing defense strategies, constantly innovating to thwart evolving threats. International cooperation and information sharing are essential to combat the global nature of cyber attacks. Public awareness campaigns emphasize the importance of cybersecurity hygiene, encouraging individuals to adopt secure practices and remain vigilant against potential threats.","Cyber attacks represent a persistent and evolving threat in our interconnected digital world. Hackers, driven by various motives such as financial gain, political agendas, or simply disruption, continuously adapt their techniques to stay ahead of cybersecurity measures. The consequences of successful cyber attacks can be severe, ranging from compromised personal data to widespread disruption of critical infrastructure","0.005725347928097603 (Score: interconnected digital world)
0.027436486165812984 (Score: digital world)
0.03728593840145586 (Score: Cyber attacks represent)
0.040330714752708996 (Score: represent a persistent)
0.040330714752708996 (Score: persistent and evolving)
0.040330714752708996 (Score: evolving threat)
0.040330714752708996 (Score: interconnected digital)
0.08088446174230823 (Score: attacks represent)
0.08441701830006056 (Score: Cyber attacks)
0.13449607323418442 (Score: successful cyber attacks)",0
5,"Artificial Intelligence (AI) is a branch of computer science that focuses on creating intelligent machines capable of performing tasks that typically require human intelligence. It involves the development of algorithms and models that enable machines to learn from data, adapt to changing inputs, and make decisions. Machine learning, a subset of AI, empowers systems to improve performance over time without explicit programming. AI applications span various domains, including healthcare, finance, and autonomous vehicles, revolutionizing industries. Natural Language Processing (NLP) and computer vision are key components, enabling machines to understand human language and interpret visual data.

Ethical considerations are paramount in AI development, addressing issues such as bias and privacy. AI is categorized into narrow or weak AI, designed for specific tasks, and general or strong AI, which exhibits human-like cognitive abilities across diverse domains. Robotics often integrates AI to enhance automation and decision-making in physical tasks. The continuous advancement of AI technologies raises questions about the societal impact and the need for responsible development and deployment. As AI evolves, its potential to transform society and improve efficiency remains a subject of ongoing exploration and debate.","Artificial Intelligence (AI) is a branch of computer science that focuses on creating intelligent machines capable of performing tasks that typically require human intelligence. Machine learning, a subset of AI, empowers systems to improve performance over time without explicit programming. AI applications span various domains, including healthcare, finance, and autonomous vehicles, revolutionizing industries","0.003255391038942158 (Score: require human intelligence)
0.007711996643705783 (Score: typically require human)
0.011101605829900519 (Score: Artificial Intelligence)
0.015264480967860272 (Score: creating intelligent machines)
0.015264480967860272 (Score: intelligent machines capable)
0.016235136908844285 (Score: human intelligence)
0.037888979119250266 (Score: branch of computer)
0.037888979119250266 (Score: computer science)
0.037888979119250266 (Score: science that focuses)
0.037888979119250266 (Score: focuses on creating)",1
6,"Data analytics is a dynamic field that involves the examination, interpretation, and visualization of large datasets to extract valuable insights. Utilizing statistical and computational techniques, data analytics helps businesses and organizations make informed decisions. It encompasses various approaches, including descriptive, diagnostic, predictive, and prescriptive analytics. Data analysts employ tools such as Python, R, and machine learning algorithms to identify patterns, trends, and correlations within data. The increasing importance of big data has propelled the growth of data analytics, enabling businesses to optimize operations and enhance performance. From marketing strategies to risk management, data analytics plays a pivotal role in various sectors.

The process involves data cleaning, exploration, and modeling, leading to actionable recommendations. The interdisciplinary nature of data analytics involves collaboration between data scientists, statisticians, and domain experts. Privacy and ethical considerations are integral to responsible data analytics practices. As technology advances, the role of data analytics continues to evolve, providing a competitive edge for those who harness its power effectively.","Data analytics is a dynamic field that involves the examination, interpretation, and visualization of large datasets to extract valuable insights. Utilizing statistical and computational techniques, data analytics helps businesses and organizations make informed decisions. It encompasses various approaches, including descriptive, diagnostic, predictive, and prescriptive analytics","0.004218132972783887 (Score: extract valuable insights)
0.02298730334462645 (Score: involves the examination)
0.02298730334462645 (Score: valuable insights)
0.02820119064707706 (Score: Data analytics)
0.03159526091930226 (Score: dynamic field)
0.03159526091930226 (Score: field that involves)
0.03159526091930226 (Score: visualization of large)
0.03159526091930226 (Score: large datasets)
0.03159526091930226 (Score: datasets to extract)
0.03159526091930226 (Score: extract valuable)",0
7," Albert Einstein, born on March 14, 1879, in Germany, was a theoretical physicist renowned for developing the theory of relativity, one of the pillars of modern physics. His equation E=mc^2 revolutionized our understanding of energy and matter. Einstein's early work on the photoelectric effect earned him the Nobel Prize in Physics in 1921. His contributions extended beyond science, as he advocated for civil rights, pacifism, and academic freedom. Einstein, a Swiss citizen, fled the rise of the Nazi regime, settling in the United States. He became a U.S. citizen in 1940.  Known for his iconic disheveled appearance, Einstein was a profound thinker and a humble individual. His curiosity and dedication to scientific inquiry left an indelible mark on the scientific community and popular culture. Einstein passed away on April 18, 1955, leaving a legacy that continues to inspire generations of scientists and thinkers.","Albert Einstein, born on March 14, 1879, in Germany, was a theoretical physicist renowned for developing the theory of relativity, one of the pillars of modern physics. Einstein, a Swiss citizen, fled the rise of the Nazi regime, settling in the United States. Known for his iconic disheveled appearance, Einstein was a profound thinker and a humble individual","0.0036481589905711887 (Score: theoretical physicist renowned)
0.00662399676695865 (Score: born on March)
0.017694793644312073 (Score: theory of relativity)
0.017694793644312073 (Score: modern physics)
0.023247606566227277 (Score: theoretical physicist)
0.023247606566227277 (Score: physicist renowned)
0.023247606566227277 (Score: renowned for developing)
0.023247606566227277 (Score: developing the theory)
0.023247606566227277 (Score: pillars of modern)
0.027584766688714884 (Score: Albert Einstein)",0
8,"Pragyan, the lunar rover developed by the Indian Space Research Organisation (ISRO), is an integral component of the Chandrayaan-2 mission launched in July 2019. Weighing approximately 27 kilograms, Pragyan's primary objective is to explore the Moon's surface and conduct experiments, contributing to our understanding of lunar composition and geology. Equipped with advanced scientific instruments such as the Alpha Particle X-ray Spectrometer (APXS) and Laser-Induced Breakdown Spectroscope (LIBS), Pragyan aims to analyze soil and rock samples for elemental data. Operating on six wheels, it has the capability to traverse up to 500 meters on the lunar surface. The rover communicates with the Vikram lander, acting as its base station.

Named ""Pragyan,"" meaning ""wisdom"" in Sanskrit, the rover symbolizes its mission to acquire knowledge about the Moon. Despite setbacks during the Chandrayaan-2 mission, marked by the Vikram lander losing communication during descent, Pragyan's operational status remains uncertain. Nonetheless, the Chandrayaan-2 mission underscores India's ambitious pursuit of lunar exploration, particularly focusing on the Moon's south polar region. Through Pragyan and its associated components, India strives to make significant contributions to lunar science and advance its capabilities in space exploration.","Pragyan, the lunar rover developed by the Indian Space Research Organisation (ISRO), is an integral component of the Chandrayaan-2 mission launched in July 2019. Weighing approximately 27 kilograms, Pragyan's primary objective is to explore the Moon's surface and conduct experiments, contributing to our understanding of lunar composition and geology. Despite setbacks during the Chandrayaan-2 mission, marked by the Vikram lander losing communication during descent, Pragyan's operational status remains uncertain","0.0002546171607732798 (Score: Space Research Organisation)
0.00030553183191785443 (Score: Indian Space Research)
0.003767238485496223 (Score: Research Organisation)
0.004517581140715297 (Score: Indian Space)
0.004517581140715297 (Score: Space Research)
0.0054143470800934665 (Score: lunar rover developed)
0.008133227573922343 (Score: launched in July)
0.021221604145016656 (Score: rover developed)
0.021221604145016656 (Score: integral component)
0.024419928049915378 (Score: Pragyan primary objective)",0
9,"The Indian Constitution, enacted on January 26, 1950, stands as the paramount legal framework in India. Globally renowned as the lengthiest written constitution, it encapsulates principles of justice, liberty, and equality. Dr. B.R. Ambedkar, the chief architect, played a pivotal role in its drafting, ensuring a robust foundation for the nation. Declaring India a sovereign, socialist, secular, and democratic republic, the Constitution consists of a preamble followed by 470 articles, organized into 25 parts and 12 schedules.

Fundamental Rights within the Constitution safeguard individual liberties, while Directive Principles guide state policies, emphasizing social justice. With the President as the head of state and the Prime Minister as the head of government, the Parliament comprises the Lok Sabha and the Rajya Sabha. The judiciary, spearheaded by the Supreme Court, upholds the Constitution's supremacy, ensuring its adherence across the nation. A testament to its adaptability, the Constitution has undergone 105 amendments, reflecting its resilience to societal changes while steadfastly upholding core values.","The Indian Constitution, enacted on January 26, 1950, stands as the paramount legal framework in India. With the President as the head of state and the Prime Minister as the head of government, the Parliament comprises the Lok Sabha and the Rajya Sabha. The judiciary, spearheaded by the Supreme Court, upholds the Constitution's supremacy, ensuring its adherence across the nation","0.0012567375815347752 (Score: paramount legal framework)
0.00462609458141493 (Score: enacted on January)
0.005240697439154456 (Score: framework in India)
0.007211220850739476 (Score: Indian Constitution)
0.01152914089553195 (Score: paramount legal)
0.01152914089553195 (Score: legal framework)
0.02441973277436901 (Score: Lok Sabha)
0.02441973277436901 (Score: Rajya Sabha)
0.02797016159439959 (Score: Prime Minister)
0.04811341362554847 (Score: Constitution supremacy)",1
10,"Thermal heat, an essential form of energy, results from particle movement within a substance. Measured in units like calories or joules, it holds a pivotal role in physics and thermodynamics. Heat transfer occurs through conduction, convection, and radiation, involving the movement of particles, fluids, and electromagnetic waves. Understanding thermodynamic systems is fundamental, as heat plays a central role in phase transitions and altering states of matter. Achieving thermal equilibrium, where objects at different temperatures reach a common temperature upon contact, is a key concept. The applications of thermal heat are widespread, influencing heating systems, engines, and environmental processes like climate regulation.","Thermal heat, an essential form of energy, results from particle movement within a substance. Understanding thermodynamic systems is fundamental, as heat plays a central role in phase transitions and altering states of matter. Achieving thermal equilibrium, where objects at different temperatures reach a common temperature upon contact, is a key concept.","0.021108476672453722 (Score: form of energy)
0.021108476672453722 (Score: results from particle)
0.029059989032151633 (Score: essential form)
0.029059989032151633 (Score: particle movement)
0.08295272952049147 (Score: Understanding thermodynamic systems)
0.10323022705982103 (Score: Achieving thermal equilibrium)
0.12301487643423167 (Score: energy)
0.12301487643423167 (Score: results)
0.12301487643423167 (Score: substance)
0.13062284593682946 (Score: Thermal heat)",0
